UpdateTime	TopWait
2025-05-01 00:30	> 3
2025-05-01 00:45	> 2
2025-05-01 01:15	> 2
2025-05-01 01:30	> 2
2025-05-01 01:45	> 2
2025-05-01 02:30	> 3
2025-05-01 02:45	> 6
2025-05-01 03:15	> 3
2025-05-01 03:30	> 3
2025-05-01 03:45	> 2
2025-05-01 04:15	> 2
2025-05-01 04:30	> 6
2025-05-01 05:30	> 6
2025-05-01 05:45	> 6
2025-05-01 06:30	> 6
2025-05-01 06:45	> 6
2025-05-01 07:30	> 7
2025-05-01 07:45	> 6
2025-05-01 10:15	> 5
2025-05-01 11:15	> 5
2025-05-01 11:45	> 2
2025-05-01 12:30	< 1
2025-05-01 12:45	< 1
2025-05-01 12:45	< 1
2025-05-01 13:15	< 1
2025-05-01 13:30	< 1
2025-05-01 13:45	< 1
2025-05-01 14:30	< 1
2025-05-01 14:45	< 1
2025-05-01 15:15	< 1
2025-05-01 15:30	< 1
2025-05-01 16:30	< 1
2025-05-01 17:15	< 1
2025-05-01 17:30	< 1
2025-05-01 17:45	< 1
2025-05-01 18:15	< 1
2025-05-01 18:30	< 1
2025-05-01 18:45	< 1
2025-05-01 19:15	< 1
2025-05-01 19:30	< 1
2025-05-01 19:45	> 1
2025-05-01 20:45	> 1
2025-05-01 21:30	> 2
2025-05-01 21:30	> 2
2025-05-01 21:45	> 2
2025-05-01 22:15	> 2
2025-05-01 22:30	> 2
2025-05-01 22:45	> 2
2025-05-01 23:15	> 2
2025-05-01 23:30	> 2
2025-05-01 23:45	> 2
