UpdateTime	TopWait
2025-07-13 00:30	> 2
2025-07-13 00:45	> 2
2025-07-13 01:15	> 2
2025-07-13 01:45	> 1
2025-07-13 02:30	> 1
2025-07-13 02:45	> 1
2025-07-13 03:15	> 2
2025-07-13 03:30	> 2
2025-07-13 03:45	> 2
2025-07-13 04:15	> 3
2025-07-13 04:30	> 3
2025-07-13 04:45	> 3
2025-07-13 05:15	> 3
2025-07-13 05:30	> 3
2025-07-13 05:45	> 3
2025-07-13 06:15	> 3
2025-07-13 06:45	> 3
2025-07-13 07:15	> 3
2025-07-13 07:30	> 3
2025-07-13 07:45	> 3
2025-07-13 10:30	> 1
2025-07-13 11:45	< 1
2025-07-13 12:45	< 1
2025-07-13 13:15	< 1
2025-07-13 13:45	> 1
2025-07-13 13:45	> 1
2025-07-13 14:45	> 1
2025-07-13 15:15	> 1
2025-07-13 15:30	> 1
2025-07-13 15:45	> 1
2025-07-13 16:30	> 1
2025-07-13 16:45	> 1
2025-07-13 17:15	< 1
2025-07-13 17:30	< 1
2025-07-13 17:45	< 1
2025-07-13 18:15	< 1
2025-07-13 18:45	> 1
2025-07-13 18:45	> 1
2025-07-13 19:30	> 1
2025-07-13 19:45	> 1
2025-07-13 20:45	> 1
2025-07-13 21:30	> 1
2025-07-13 21:45	> 1
2025-07-13 21:45	> 1
2025-07-13 22:15	> 1
2025-07-13 22:30	> 1
2025-07-13 22:45	> 1
2025-07-13 23:15	> 1
2025-07-13 23:30	> 1
2025-07-13 23:45	> 2
