UpdateTime	TopWait
2025-08-26 00:30	> 2
2025-08-26 00:45	> 2
2025-08-26 01:45	> 3
2025-08-26 02:30	> 3
2025-08-26 02:45	> 3
2025-08-26 03:15	> 3
2025-08-26 03:30	> 3
2025-08-26 03:45	> 3
2025-08-26 04:15	> 3
2025-08-26 04:30	> 3
2025-08-26 04:45	> 3
2025-08-26 05:15	> 3
2025-08-26 05:45	> 3
2025-08-26 06:15	> 3
2025-08-26 06:30	> 3
2025-08-26 06:45	> 3
2025-08-26 07:15	> 3
2025-08-26 07:30	> 4
2025-08-26 07:45	> 4
2025-08-26 10:00	> 5
2025-08-26 11:00	> 2
2025-08-26 11:45	> 1
2025-08-26 12:30	< 1
2025-08-26 12:45	< 1
2025-08-26 13:15	< 1
2025-08-26 13:30	< 1
2025-08-26 13:45	< 1
2025-08-26 14:30	< 1
2025-08-26 14:45	< 1
2025-08-26 15:15	< 1
2025-08-26 15:30	< 1
2025-08-26 15:45	< 1
2025-08-26 16:30	> 1
2025-08-26 16:45	> 1
2025-08-26 17:15	> 1
2025-08-26 17:30	> 1
2025-08-26 17:45	> 1
2025-08-26 18:15	> 1
2025-08-26 18:45	> 1
2025-08-26 19:30	> 2
2025-08-26 19:45	> 2
2025-08-26 20:45	> 2
2025-08-26 21:30	> 3
2025-08-26 21:45	> 3
2025-08-26 22:15	> 3
2025-08-26 22:30	> 3
2025-08-26 23:15	> 3
2025-08-26 23:30	> 3
2025-08-26 23:45	> 3
